phase,psth_peak
5.000000000000000000e+01,1.625000000000000000e+01
5.000000000000000000e+01,2.133333333333333215e+01
5.000000000000000000e+01,2.975000000000000000e+01
5.000000000000000000e+01,1.719999999999999929e+01
5.000000000000000000e+01,1.864999999999999858e+01
5.000000000000000000e+01,9.384615384615385025e+00
5.000000000000000000e+01,3.161538461538461675e+01
5.000000000000000000e+01,2.916666666666666785e+01
5.000000000000000000e+01,1.734782608695652328e+01
5.000000000000000000e+01,2.900000000000000000e+01
6.000000000000000000e+01,3.125000000000000000e+01
6.000000000000000000e+01,3.125000000000000000e+01
6.000000000000000000e+01,1.719999999999999929e+01
6.000000000000000000e+01,1.719999999999999929e+01
6.000000000000000000e+01,1.645454545454545325e+01
6.000000000000000000e+01,1.505555555555555536e+01
6.000000000000000000e+01,1.505555555555555536e+01
6.000000000000000000e+01,2.128571428571428470e+01
6.000000000000000000e+01,9.352941176470588758e+00
6.000000000000000000e+01,2.271428571428571530e+01
6.000000000000000000e+01,1.685000000000000142e+01
6.000000000000000000e+01,1.114285714285714235e+01
7.000000000000000000e+01,2.283333333333333215e+01
7.000000000000000000e+01,1.675000000000000000e+01
7.000000000000000000e+01,2.073333333333333428e+01
7.000000000000000000e+01,1.439130434782608781e+01
7.000000000000000000e+01,1.904761904761904745e+01
7.000000000000000000e+01,1.414285714285714235e+01
7.000000000000000000e+01,2.278571428571428470e+01
7.000000000000000000e+01,1.952941176470588402e+01
7.000000000000000000e+01,2.921428571428571530e+01
7.000000000000000000e+01,2.339999999999999858e+01
8.000000000000000000e+01,2.450000000000000000e+01
8.000000000000000000e+01,2.450000000000000000e+01
8.000000000000000000e+01,2.100000000000000000e+01
8.000000000000000000e+01,2.100000000000000000e+01
8.000000000000000000e+01,3.033333333333333215e+01
8.000000000000000000e+01,1.875000000000000000e+01
8.000000000000000000e+01,3.979999999999999716e+01
8.000000000000000000e+01,1.076470588235294201e+01
8.000000000000000000e+01,2.800000000000000000e+01
8.000000000000000000e+01,2.389473684210526372e+01
8.000000000000000000e+01,2.347058823529411598e+01
9.000000000000000000e+01,4.161538461538461320e+01
9.000000000000000000e+01,2.528571428571428470e+01
9.000000000000000000e+01,1.164705882352941124e+01
9.000000000000000000e+01,2.109090909090908994e+01
9.000000000000000000e+01,3.206666666666666998e+01
9.000000000000000000e+01,3.105263157894736992e+01
9.000000000000000000e+01,1.680000000000000071e+01
9.000000000000000000e+01,3.700000000000000000e+01
9.000000000000000000e+01,1.730000000000000071e+01
9.000000000000000000e+01,2.283333333333333215e+01
1.000000000000000000e+02,2.544444444444444287e+01
1.000000000000000000e+02,1.478947368421052566e+01
1.000000000000000000e+02,2.342857142857142705e+01
1.000000000000000000e+02,2.437500000000000000e+01
1.000000000000000000e+02,2.289473684210526372e+01
1.000000000000000000e+02,3.550000000000000000e+01
1.000000000000000000e+02,2.311764705882352899e+01
1.000000000000000000e+02,2.150000000000000000e+01
1.100000000000000000e+02,4.062500000000000000e+01
1.100000000000000000e+02,4.623529411764705799e+01
1.100000000000000000e+02,2.826666666666666572e+01
1.100000000000000000e+02,3.853846153846154010e+01
1.100000000000000000e+02,4.183333333333333570e+01
1.100000000000000000e+02,3.255555555555555713e+01
1.100000000000000000e+02,3.526315789473684248e+01
1.100000000000000000e+02,3.113333333333333286e+01
1.100000000000000000e+02,3.319047619047618980e+01
1.100000000000000000e+02,2.850000000000000000e+01
1.200000000000000000e+02,3.881818181818182012e+01
1.200000000000000000e+02,3.005882352941176450e+01
1.200000000000000000e+02,3.218181818181817988e+01
1.200000000000000000e+02,4.094444444444444287e+01
1.200000000000000000e+02,4.246666666666666856e+01
1.200000000000000000e+02,3.338461538461538680e+01
1.200000000000000000e+02,3.222727272727272663e+01
1.200000000000000000e+02,2.936842105263157876e+01
1.200000000000000000e+02,3.200000000000000000e+01
1.200000000000000000e+02,3.981250000000000000e+01
1.300000000000000000e+02,3.187500000000000000e+01
1.300000000000000000e+02,3.381818181818182012e+01
1.300000000000000000e+02,3.629999999999999716e+01
1.300000000000000000e+02,3.071428571428571530e+01
1.300000000000000000e+02,4.000000000000000000e+01
1.300000000000000000e+02,3.176470588235294201e+01
1.300000000000000000e+02,3.700000000000000000e+01
1.300000000000000000e+02,4.679999999999999716e+01
1.300000000000000000e+02,3.806250000000000000e+01
1.300000000000000000e+02,4.558823529411764497e+01
1.400000000000000000e+02,3.346666666666666856e+01
1.400000000000000000e+02,2.136363636363636331e+01
1.400000000000000000e+02,3.988888888888888573e+01
1.400000000000000000e+02,3.895000000000000284e+01
1.400000000000000000e+02,4.250000000000000000e+01
1.400000000000000000e+02,3.982608695652174191e+01
1.400000000000000000e+02,3.135294117647058698e+01
1.400000000000000000e+02,3.588235294117647101e+01
1.400000000000000000e+02,3.137500000000000000e+01
1.400000000000000000e+02,4.241666666666666430e+01
1.500000000000000000e+02,3.825000000000000000e+01
1.500000000000000000e+02,3.754999999999999716e+01
1.500000000000000000e+02,3.418181818181817988e+01
1.500000000000000000e+02,4.785714285714285410e+01
1.500000000000000000e+02,4.492000000000000171e+01
1.500000000000000000e+02,3.463636363636363313e+01
1.500000000000000000e+02,5.181250000000000000e+01
1.500000000000000000e+02,4.026315789473684248e+01
1.500000000000000000e+02,3.823529411764705799e+01
1.500000000000000000e+02,4.739999999999999858e+01
2.000000000000000000e+02,3.581481481481481666e+01
2.000000000000000000e+02,4.853333333333333144e+01
2.000000000000000000e+02,5.582051282051281760e+01
2.000000000000000000e+02,4.431250000000000000e+01
2.000000000000000000e+02,3.938709677419355160e+01
3.000000000000000000e+02,6.662264150943396146e+01
3.000000000000000000e+02,5.458620689655172242e+01
3.000000000000000000e+02,4.939999999999999858e+01
3.000000000000000000e+02,3.707692307692308020e+01
3.000000000000000000e+02,5.791111111111111143e+01
4.000000000000000000e+02,5.238709677419355160e+01
4.000000000000000000e+02,4.050000000000000000e+01
4.000000000000000000e+02,4.841666666666666430e+01
4.000000000000000000e+02,6.203225806451612812e+01
4.000000000000000000e+02,6.827659574468084713e+01
